rank,team,ratio,f1_s60,f2_s60
1,guatemala,1.3131,29.2282,22.2587
2,saudi_arabia,1.2699,22.4294,17.662
3,serbia,1.2628,29.9912,23.7496
4,rwanda,1.2504,26.2197,20.9696
5,iceland,1.238,25.5928,20.6734
6,uae,1.2132,21.2598,17.5233
7,france,1.1984,24.5805,20.512
8,south_korea,1.1122,29.5166,26.539
9,singapore,1.0899,26.3069,24.1361
10,usa,1.0857,24.9665,22.9958
11,uk,1.0683,24.7918,23.2076
12,morocco,1.0607,25.8362,24.3575
13,thailand,1.0524,25.7729,24.4898
14,peru,1.033,24.8886,24.0931
15,new_zealand,1.0302,23.9669,23.2647
16,china,1.0219,23.3113,22.8107
17,kazakhstan,1.0106,20.2244,20.0116
18,oman,0.9912,24.5988,24.8183
19,switzerland,0.9855,21.8868,22.2077
20,india,0.9833,26.2533,26.6995
21,philippines,0.9615,21.171,22.018
22,netherlands,0.9609,21.0985,21.9567
23,ethiopia,0.9527,24.0783,25.2747
24,brazil,0.9396,23.4007,24.9053
25,pakistan,0.9288,27.386,29.4848
26,mongolia,0.9226,20.5218,22.2437
27,panama,0.9147,22.6048,24.7131
28,canada,0.9138,23.7852,26.0284
29,germany,0.9104,20.9535,23.0162
30,mexico,0.9055,25.3868,28.0351
31,vietnam,0.8982,20.981,23.3594
32,indonesia,0.851,20.8331,24.4805
