rank,team,ratio,z_first,z_second,z_gap
1,guatemala,1.9615,1.4526,-0.5089,1.9615
2,usa,1.9595,1.2528,-0.7067,1.9595
3,france,1.7255,0.7749,-0.9505,1.7255
4,iceland,1.6763,0.8715,-0.8047,1.6763
5,saudi_arabia,1.5758,-0.0497,-1.6255,1.5758
6,singapore,1.4218,0.9724,-0.4494,1.4218
7,uae,1.3857,-0.7132,-2.0989,1.3857
8,new_zealand,1.2048,0.4518,-0.753,1.2048
9,panama,1.1266,0.7674,-0.3591,1.1266
10,peru,1.0542,0.3286,-0.7256,1.0542
11,uk,1.0373,1.2068,0.1695,1.0373
12,rwanda,1.0128,0.1967,-0.8161,1.0128
13,india,0.9189,0.4386,-0.4803,0.9189
14,serbia,0.7868,1.4736,0.6868,0.7868
15,south_korea,0.6729,1.2095,0.5366,0.6729
16,netherlands,0.5704,-0.3176,-0.8879,0.5704
17,mexico,0.362,0.7974,0.4354,0.362
18,china,0.3011,0.6422,0.3411,0.3011
19,pakistan,0.2574,1.9192,1.6618,0.2574
20,mongolia,0.1913,-1.6411,-1.8324,0.1913
21,canada,0.0754,0.3015,0.2261,0.0754
22,kazakhstan,0.0031,-1.5691,-1.5723,0.0031
23,philippines,-0.0009,-1.1109,-1.1101,-0.0009
24,morocco,-0.0166,0.1469,0.1635,-0.0166
25,oman,-0.0695,0.5792,0.6487,-0.0695
26,brazil,-0.1347,1.1859,1.3206,-0.1347
27,indonesia,-0.1943,-1.204,-1.0097,-0.1943
28,thailand,-0.2365,1.5056,1.7421,-0.2365
29,germany,-0.2425,-0.2265,0.016,-0.2425
30,vietnam,-0.3047,-0.6483,-0.3435,-0.3047
31,switzerland,-0.5696,-1.4599,-0.8903,-0.5696
32,ethiopia,-0.6239,-0.0909,0.533,-0.6239
