rank,team,ratio,reg_gap
1,iceland,0.6109,0.6109
2,saudi_arabia,0.4905,0.4905
3,guatemala,0.4387,0.4387
4,singapore,0.4294,0.4294
5,france,0.3859,0.3859
6,new_zealand,0.322,0.322
7,uk,0.2685,0.2685
8,usa,0.259,0.259
9,netherlands,0.227,0.227
10,uae,0.2125,0.2125
11,india,0.2077,0.2077
12,south_korea,0.1498,0.1498
13,peru,0.0746,0.0746
14,china,0.0705,0.0705
15,thailand,0.0351,0.0351
16,pakistan,-0.0103,-0.0103
17,canada,-0.0782,-0.0782
18,serbia,-0.1013,-0.1013
19,brazil,-0.107,-0.107
20,mexico,-0.1176,-0.1176
21,panama,-0.1204,-0.1204
22,mongolia,-0.171,-0.171
23,switzerland,-0.1717,-0.1717
24,ethiopia,-0.2027,-0.2027
25,indonesia,-0.2081,-0.2081
26,rwanda,-0.2337,-0.2337
27,philippines,-0.2425,-0.2425
28,vietnam,-0.2506,-0.2506
29,morocco,-0.2718,-0.2718
30,oman,-0.3183,-0.3183
31,germany,-0.3453,-0.3453
32,kazakhstan,-0.6729,-0.6729
