rank,team,ratio,f1_toi_wt_xg60,f2_toi_wt_xg60
1,usa,1.3692,2.7272,1.9918
2,saudi_arabia,1.3591,2.2384,1.6469
3,guatemala,1.3563,2.8022,2.066
4,uae,1.354,1.9893,1.4693
5,france,1.3408,2.5479,1.9003
6,iceland,1.3218,2.5841,1.955
7,singapore,1.2555,2.622,2.0883
8,new_zealand,1.229,2.4266,1.9744
9,peru,1.1993,2.3803,1.9847
10,panama,1.1992,2.545,2.1222
11,rwanda,1.1949,2.3308,1.9507
12,uk,1.1678,2.7099,2.3206
13,india,1.1661,2.4216,2.0767
14,serbia,1.1174,2.8101,2.5148
15,netherlands,1.1113,2.1378,1.9238
16,south_korea,1.1027,2.7109,2.4584
17,mexico,1.0561,2.5563,2.4204
18,china,1.0474,2.498,2.385
19,mongolia,1.0458,1.6411,1.5693
20,pakistan,1.0335,2.9773,2.8807
21,canada,1.0121,2.3702,2.3419
22,kazakhstan,1.0007,1.6681,1.6669
23,philippines,0.9998,1.8401,1.8404
24,morocco,0.9973,2.3122,2.3184
25,oman,0.9896,2.4744,2.5005
26,brazil,0.9816,2.7021,2.7527
27,thailand,0.9695,2.8221,2.9108
28,indonesia,0.9612,1.8051,1.8781
29,germany,0.9598,2.172,2.263
30,vietnam,0.9463,2.0137,2.1281
31,ethiopia,0.9047,2.2229,2.457
32,switzerland,0.8888,1.7091,1.9229
