team,rank_raw_xg,rank_xg60,rank_adj_xg60,rank_goals60,rank_shots60,rank_xg_share,rank_z_gap,rank_regression,rank_toi_wt,rank_bootstrap,mean_rank,rank_variance,consensus_rank
saudi_arabia,3,2,2,18,2,3,5,2,2,2,4.1,24.766666666666666,1
guatemala,2,3,3,21,1,2,1,3,3,3,4.2,35.51111111111111,2
france,5,5,5,8,7,5,3,5,5,5,5.3,1.788888888888889,3
usa,1,1,1,30,10,1,2,8,1,1,5.6,84.48888888888888,4
iceland,6,6,6,19,5,6,4,1,6,6,6.5,21.833333333333332,5
singapore,7,7,7,4,9,7,6,4,7,7,6.5,2.2777777777777777,5
uae,4,4,4,20,6,4,7,10,4,4,6.7,25.788888888888888,7
new_zealand,8,8,8,27,15,8,8,6,8,8,10.4,39.60000000000001,8
peru,11,9,9,23,14,11,10,13,9,9,11.8,18.622222222222224,9
serbia,14,14,14,2,3,14,14,18,14,14,12.1,27.211111111111116,10
