,count,mean,std,min,25%,50%,75%,max,skew
toi,25827.0,190.19490223409608,153.70222977497824,0.01,92.64500000000001,156.19,237.985,1559.67,2.266909803825947
home_xg,25827.0,0.15895282456344134,0.3056357489601249,0.0,0.0,0.0898,0.1878,5.5435,5.260398791469272
away_xg,25827.0,0.14280128934835637,0.2641914098738877,0.0,0.0,0.0825,0.1752,4.4123,5.0379539936310085
home_goals,25827.0,0.15704495295620863,0.4765477082332044,0.0,0.0,0.0,0.0,7.0,4.273998194865423
away_goals,25827.0,0.13543965617377163,0.4275167184067937,0.0,0.0,0.0,0.0,7.0,4.188631993487863
home_shots,25827.0,1.4002400588531383,2.0462562925935046,0.0,0.0,1.0,2.0,28.0,3.5212000165447543
away_shots,25827.0,1.3291129438184845,1.8752478860125494,0.0,0.0,1.0,2.0,23.0,3.27120371034689
home_max_xg,25827.0,0.0663316684090293,0.06048956592425382,0.0,0.0,0.0801,0.105,0.2707,0.4170936079112399
away_max_xg,25827.0,0.062455070275293297,0.05800288214263406,0.0,0.0,0.0745,0.0996,0.2622,0.46674934152391107
home_assists,25827.0,0.2450536260502575,0.7985324862042733,0.0,0.0,0.0,0.0,13.0,4.615793560782427
away_assists,25827.0,0.21144538661091106,0.714387785984039,0.0,0.0,0.0,0.0,13.0,4.4940619010440255
home_penalties_committed,25827.0,0.3164904944437991,1.314470492750343,0.0,0.0,0.0,0.0,16.0,5.11903534259601
home_penalty_minutes,25827.0,0.6464939791690866,2.695040274796942,0.0,0.0,0.0,0.0,34.0,5.16174214873365
away_penalties_committed,25827.0,0.3449103651217718,1.4367796912489552,0.0,0.0,0.0,0.0,19.0,5.200038341394839
away_penalty_minutes,25827.0,0.7036047547140589,2.9403982480167787,0.0,0.0,0.0,0.0,38.0,5.253474920443773
