game_id,record_id,home_team,away_team,went_ot,home_off_line,home_def_pairing,away_off_line,away_def_pairing,home_goalie,away_goalie,toi,home_assists,home_shots,home_xg,home_max_xg,home_goals,away_assists,away_shots,away_xg,away_max_xg,away_goals,home_penalties_committed,home_penalty_minutes,away_penalties_committed,away_penalty_minutes,half
game_10,record_36,switzerland,kazakhstan,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_86,player_id_192,872.22,0,1,0.1006,0.1006,0,4,12,1.801,0.2069,2,10,20,0,0,first
game_100,record_49,serbia,rwanda,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_12,player_id_62,673.49,2,8,1.2579,0.211,1,0,3,0.2239,0.0765,0,1,2,9,18,first
game_1000,record_76,brazil,netherlands,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_14,player_id_148,720.0,0,1,0.0733,0.0733,0,0,7,1.1404,0.2137,0,8,16,0,0,first
game_1002,record_106,peru,saudi_arabia,1,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_218,player_id_212,948.7,0,5,0.3124,0.0769,0,0,6,0.9538,0.2092,0,10,20,0,0,first
game_1002,record_112,peru,saudi_arabia,1,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_218,player_id_212,680.6,0,6,0.7783,0.1446,0,0,1,0.0986,0.0986,0,2,4,7,14,first
game_1008,record_240,south_korea,oman,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_80,player_id_266,723.79,4,9,1.2993,0.2396,2,1,5,0.3694,0.0826,2,1,2,9,18,first
game_1010,record_291,netherlands,iceland,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_148,player_id_16,707.51,0,7,1.1771,0.2242,0,0,0,0.0,0.0,0,1,2,5,13,first
game_1010,record_295,netherlands,iceland,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_148,player_id_16,840.0,0,2,0.1441,0.0746,0,4,7,1.016,0.2031,2,8,16,1,2,first
game_1012,record_334,mexico,usa,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_103,player_id_152,673.24,2,4,0.4143,0.1184,1,2,3,0.4418,0.1498,1,6,12,2,4,first
game_1013,record_340,panama,rwanda,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_293,player_id_62,960.0,7,17,2.7757,0.2425,4,0,4,0.2569,0.1057,0,2,4,12,24,first
game_1015,record_382,brazil,singapore,1,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_14,player_id_123,806.18,2,11,2.1419,0.2546,2,0,5,0.4276,0.1127,0,2,4,10,20,first
game_1019,record_459,rwanda,germany,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_62,player_id_75,654.08,1,3,0.2864,0.096,1,0,10,1.5801,0.2239,0,7,14,1,2,first
game_102,record_485,switzerland,ethiopia,1,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_86,player_id_258,1083.74,2,7,0.5562,0.112,1,0,10,1.3796,0.2159,0,15,30,3,6,first
game_1025,record_595,vietnam,peru,1,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_60,player_id_218,653.71,0,4,0.1828,0.0526,0,2,4,0.6106,0.1579,1,6,12,0,0,first
game_1028,record_660,indonesia,mongolia,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_93,player_id_220,715.71,5,12,1.9489,0.2159,3,0,0,0.0,0.0,0,0,0,8,16,first
game_1031,record_740,brazil,usa,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_14,player_id_152,743.52,0,1,0.1044,0.1044,0,2,11,1.748,0.2188,1,10,20,2,4,first
