team,wins_h1,games_h1,wins_h2,games_h2,winpct_h1,winpct_h2,trend
brazil,34,42,24,40,0.8095238095238095,0.6,-0.20952380952380956
canada,18,41,18,41,0.43902439024390244,0.43902439024390244,0.0
china,25,38,22,44,0.6578947368421053,0.5,-0.1578947368421053
ethiopia,22,41,21,41,0.5365853658536586,0.5121951219512195,-0.024390243902439046
france,17,42,20,40,0.40476190476190477,0.5,0.09523809523809523
germany,17,39,19,43,0.4358974358974359,0.4418604651162791,0.005963029218843174
guatemala,23,40,19,42,0.575,0.4523809523809524,-0.12261904761904757
iceland,24,42,22,40,0.5714285714285714,0.55,-0.021428571428571352
india,26,41,23,41,0.6341463414634146,0.5609756097560976,-0.07317073170731703
indonesia,20,40,21,42,0.5,0.5,0.0
kazakhstan,17,41,13,41,0.4146341463414634,0.3170731707317073,-0.09756097560975607
mexico,21,43,17,39,0.4883720930232558,0.4358974358974359,-0.05247465712581989
mongolia,13,39,14,43,0.3333333333333333,0.32558139534883723,-0.007751937984496082
morocco,23,42,14,40,0.5476190476190477,0.35,-0.1976190476190477
netherlands,26,43,28,39,0.6046511627906976,0.717948717948718,0.11329755515802031
new_zealand,21,40,19,42,0.525,0.4523809523809524,-0.07261904761904764
oman,14,41,21,41,0.34146341463414637,0.5121951219512195,0.17073170731707316
pakistan,28,41,21,41,0.6829268292682927,0.5121951219512195,-0.1707317073170732
panama,25,42,21,40,0.5952380952380952,0.525,-0.07023809523809521
peru,21,41,31,41,0.5121951219512195,0.7560975609756098,0.24390243902439024
philippines,18,41,25,41,0.43902439024390244,0.6097560975609756,0.17073170731707316
rwanda,11,41,19,41,0.2682926829268293,0.4634146341463415,0.1951219512195122
saudi_arabia,20,42,19,40,0.47619047619047616,0.475,-0.0011904761904761862
serbia,21,42,20,40,0.5,0.5,0.0
singapore,20,40,20,42,0.5,0.47619047619047616,-0.023809523809523836
south_korea,19,43,20,39,0.4418604651162791,0.5128205128205128,0.0709600477042337
switzerland,17,40,19,42,0.425,0.4523809523809524,0.027380952380952395
thailand,25,41,25,41,0.6097560975609756,0.6097560975609756,0.0
uae,21,41,17,41,0.5121951219512195,0.4146341463414634,-0.09756097560975613
uk,18,42,21,40,0.42857142857142855,0.525,0.09642857142857147
usa,12,40,23,42,0.3,0.5476190476190477,0.24761904761904768
vietnam,19,40,20,42,0.475,0.47619047619047616,0.0011904761904761862
