xg_bin,mean_xg,mean_goals,n
"(0.0, 0.25]",0.12894935924818454,0.12182827851345579,23410
"(0.25, 0.5]",0.33522006056018167,0.3425435276305829,5284
"(0.5, 0.75]",0.606168380213385,0.5809893307468477,1031
"(0.75, 1.0]",0.8605201257861635,0.8029350104821803,477
"(1.0, 1.25]",1.117179527559055,1.0236220472440944,381
"(1.25, 1.5]",1.3701789473684212,1.4360902255639099,266
"(1.5, 1.75]",1.620242105263158,1.5842105263157895,190
"(1.75, 2.0]",1.8737451388888888,1.6597222222222223,144
"(2.0, 2.25]",2.119429166666667,2.1145833333333335,96
"(2.25, 2.5]",2.369964,2.52,50
"(2.5, 2.75]",2.6149875000000002,2.75,24
"(2.75, 3.0]",2.8430576923076925,2.923076923076923,26
"(3.0, 3.25]",3.1357066666666666,2.933333333333333,15
