game_id,home_team,away_team,went_ot,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_assists,away_assists,home_penalties_min,away_penalties_min,home_penalties_committed,away_penalties_committed,total_toi,game_num,home_win,goal_diff,xg_diff
game_1,thailand,pakistan,0,1,3,2.8230999999999997,2.7516,21,24,2,6,16,12,8,6,3599.9900000000002,1,0,-2,0.0714999999999999
game_2,france,morocco,1,3,2,3.4075,3.0509,31,27,4,4,18,12,9,6,3797.73,2,1,1,0.35660000000000025
game_3,peru,iceland,1,4,3,4.8049,2.3901000000000003,42,26,6,6,12,24,6,12,5323.38,3,1,1,2.4147999999999996
game_4,mongolia,saudi_arabia,0,0,1,1.6322,1.6166,19,16,0,2,12,10,6,5,3600.0,4,0,-1,0.015600000000000058
game_5,usa,guatemala,0,4,1,3.1534999999999997,4.7456000000000005,32,42,7,1,18,12,9,6,3599.98,5,1,3,-1.5921000000000007
game_6,indonesia,new_zealand,1,4,5,2.8807,3.5877,26,30,6,10,10,8,5,4,3619.73,6,0,-1,-0.7069999999999999
game_7,germany,rwanda,1,4,5,2.9504,2.5971,27,23,6,8,14,14,7,7,3919.65,7,0,-1,0.35329999999999995
game_8,china,singapore,0,3,4,3.2329,2.7965,28,27,6,5,10,8,5,4,3600.02,8,0,-1,0.4363999999999999
game_9,ethiopia,netherlands,0,3,1,2.3194999999999997,2.0778,24,21,4,2,6,10,3,5,3600.02,9,1,2,0.2416999999999998
game_10,switzerland,kazakhstan,0,4,3,1.9254,3.3189,20,30,7,4,20,0,10,0,3600.01,10,1,1,-1.3935000000000002
game_11,panama,canada,0,5,1,2.5171,2.2664,23,22,9,2,4,12,2,6,3600.0,11,1,4,0.25070000000000014
game_12,philippines,south_korea,0,2,1,2.1502,3.8327999999999998,19,34,2,1,20,16,10,8,3600.01,12,1,1,-1.6825999999999999
game_13,mexico,brazil,0,1,6,2.7186999999999997,3.2121000000000004,28,27,2,10,14,8,7,4,3599.9900000000002,13,0,-5,-0.4934000000000007
game_14,oman,india,0,1,4,2.5179,1.8717,23,18,2,6,9,12,3,6,3600.0,14,0,-3,0.6462000000000001
