rank,team,score,sos_rating,sos
1,brazil,0.688505,0.688505,0.474774
2,netherlands,0.650051,0.650051,0.479231
3,peru,0.620005,0.620005,0.480887
4,pakistan,0.598572,0.598572,0.479163
5,india,0.592233,0.592233,0.479592
6,thailand,0.584233,0.584233,0.47915
7,china,0.56255,0.56255,0.4835
8,iceland,0.546593,0.546593,0.486211
9,panama,0.541753,0.541753,0.481932
10,ethiopia,0.508605,0.508605,0.485609
11,philippines,0.506266,0.506266,0.484774
12,guatemala,0.497476,0.497476,0.485077
13,indonesia,0.485949,0.485949,0.491202
14,serbia,0.480993,0.480993,0.484186
15,uk,0.47629,0.47629,0.487897
16,saudi_arabia,0.46954,0.46954,0.48644
17,uae,0.469408,0.469408,0.482912
18,singapore,0.468873,0.468873,0.483954
19,new_zealand,0.468774,0.468774,0.487295
20,mexico,0.456545,0.456545,0.488247
21,south_korea,0.452568,0.452568,0.486285
22,vietnam,0.450443,0.450443,0.487497
23,morocco,0.441641,0.441641,0.484267
24,canada,0.428244,0.428244,0.492903
25,france,0.428196,0.428196,0.487594
26,germany,0.417833,0.417833,0.490135
27,usa,0.413862,0.413862,0.489973
28,switzerland,0.406736,0.406736,0.493033
29,oman,0.40145,0.40145,0.495324
30,kazakhstan,0.358942,0.358942,0.489316
31,rwanda,0.356462,0.356462,0.496404
32,mongolia,0.329521,0.329521,0.494345
