rank,team,score,dc_attack,dc_defence,dc_strength
1,thailand,1.289199,1.982992,1.538158,1.289199
2,brazil,1.23179,1.875095,1.522252,1.23179
3,pakistan,1.208251,1.942131,1.60739,1.208251
4,mexico,1.202406,1.833262,1.524661,1.202406
5,netherlands,1.167699,1.654673,1.417037,1.167699
6,china,1.165757,1.769453,1.517857,1.165757
7,france,1.13725,1.810063,1.591614,1.13725
8,peru,1.130516,1.675387,1.481966,1.130516
9,uk,1.124456,1.906473,1.695463,1.124456
10,panama,1.086278,1.807144,1.663611,1.086278
11,guatemala,1.084531,1.743498,1.607606,1.084531
12,serbia,1.071564,1.950845,1.820559,1.071564
13,south_korea,1.064784,1.838143,1.726305,1.064784
14,morocco,1.035266,1.72226,1.663592,1.035266
15,canada,1.02751,1.682574,1.637525,1.02751
16,new_zealand,1.023685,1.6941,1.654904,1.023685
17,india,0.972542,1.620059,1.665799,0.972542
18,germany,0.963454,1.664775,1.727925,0.963454
19,saudi_arabia,0.96191,1.530021,1.590607,0.96191
20,iceland,0.939012,1.575704,1.678044,0.939012
21,ethiopia,0.923965,1.65618,1.79247,0.923965
22,philippines,0.905736,1.480129,1.634173,0.905736
23,indonesia,0.905302,1.478868,1.633563,0.905302
24,rwanda,0.901163,1.563039,1.73447,0.901163
25,kazakhstan,0.897778,1.433563,1.596791,0.897778
26,switzerland,0.883252,1.420689,1.608475,0.883252
27,usa,0.878521,1.71528,1.952462,0.878521
28,singapore,0.874225,1.787102,2.044212,0.874225
29,oman,0.864425,1.703181,1.970306,0.864425
30,uae,0.861377,1.433888,1.664646,0.861377
31,vietnam,0.823804,1.576553,1.913749,0.823804
32,mongolia,0.697183,1.263756,1.812661,0.697183
