rank,team,score,bayesian_mean_rank,posterior_variance,n_models
1,brazil,-3.1667,3.1667,14.8056,12
2,thailand,-3.25,3.25,4.5208,12
3,pakistan,-3.75,3.75,2.6875,12
4,netherlands,-6.8333,6.8333,71.9722,12
5,china,-8.5,8.5,16.5833,12
6,peru,-8.5833,8.5833,47.5764,12
7,serbia,-10.9167,10.9167,20.2431,12
8,uk,-11.0833,11.0833,39.7431,12
9,guatemala,-11.25,11.25,8.1875,12
10,panama,-11.3333,11.3333,16.3889,12
11,india,-13.4167,13.4167,43.4097,12
12,mexico,-13.6667,13.6667,65.0556,12
13,iceland,-13.9167,13.9167,42.9097,12
14,ethiopia,-14.1667,14.1667,26.4722,12
15,south_korea,-14.75,14.75,28.3542,12
16,new_zealand,-16.4167,16.4167,10.0764,12
17,singapore,-16.6667,16.6667,64.0556,12
18,france,-17.6667,17.6667,55.3889,12
19,philippines,-18.0,18.0,49.8333,12
20,morocco,-18.75,18.75,18.8542,12
21,canada,-19.9167,19.9167,21.2431,12
22,indonesia,-20.5833,20.5833,43.5764,12
23,saudi_arabia,-20.75,20.75,17.5208,12
24,germany,-22.4167,22.4167,32.7431,12
25,vietnam,-22.9167,22.9167,21.9097,12
26,oman,-23.5833,23.5833,58.4097,12
27,usa,-24.0833,24.0833,51.0764,12
28,uae,-24.6667,24.6667,23.2222,12
29,rwanda,-25.8333,25.8333,28.8056,12
30,switzerland,-27.3333,27.3333,10.3889,12
31,kazakhstan,-28.6667,28.6667,10.3889,12
32,mongolia,-31.1667,31.1667,4.8056,12
