team,rank_points,rank_xgd60,rank_pythagorean,rank_elo,rank_colley,rank_bt,rank_composite,rank_logistic,rank_rf,rank_montecarlo,mean_rank,rank_variance,consensus_rank
thailand,4,2,1,3,4,4,4,8,1,1,3.2,4.622222222222223,1
brazil,1,3,2,1,1,1,1,15,5,5,3.5,18.944444444444443,2
pakistan,5,1,3,7,5,5,2,5,3,2,3.8,3.511111111111111,3
netherlands,2,10,4,2,2,2,3,31,2,17,7.5,92.5,4
china,7,6,6,5,7,7,7,20,12,12,8.9,20.988888888888887,5
peru,3,8,9,6,3,3,5,28,13,14,9.2,59.51111111111111,6
serbia,17,9,12,11,14,14,14,1,10,3,10.5,25.61111111111111,7
uk,14,13,7,24,17,17,6,3,4,4,10.9,50.766666666666666,8
guatemala,13,7,10,12,12,12,11,18,6,11,11.2,10.844444444444445,9
panama,8,18,11,22,9,9,9,10,11,10,11.7,20.9,10
iceland,9,17,20,4,8,8,10,16,24,23,13.9,49.211111111111116,12
india,6,19,17,10,6,6,12,17,26,20,13.9,48.32222222222222,12
ethiopia,11,20,21,9,10,10,16,7,14,21,13.9,28.1,12
mexico,19,4,5,26,21,21,8,22,7,7,14.0,71.77777777777777,14
south_korea,21,5,13,16,20,20,19,12,9,8,14.3,32.900000000000006,15
singapore,12,26,30,17,16,16,18,2,8,9,15.4,69.15555555555557,16
new_zealand,20,15,16,8,15,15,17,21,17,18,16.2,12.622222222222224,17
france,24,21,8,28,23,23,20,11,16,6,18.0,55.111111111111114,18
philippines,10,29,24,13,11,11,13,26,18,28,18.3,59.12222222222223,19
morocco,23,16,15,15,24,24,22,14,22,13,18.8,20.62222222222222,20
canada,25,14,14,21,25,25,24,13,20,19,20.0,23.77777777777778,21
indonesia,15,31,23,14,13,13,21,23,31,27,21.1,50.76666666666667,22
saudi_arabia,22,23,18,19,18,18,15,27,28,26,21.4,20.044444444444444,23
vietnam,16,27,31,23,19,19,25,19,19,24,22.2,21.28888888888889,24
oman,29,11,26,25,28,28,27,6,29,16,22.5,70.05555555555556,25
germany,28,25,19,27,27,27,26,9,15,22,22.5,40.05555555555556,25
usa,27,22,25,29,29,29,28,4,27,15,23.5,65.83333333333333,27
uae,18,28,28,18,22,22,29,30,25,29,24.9,21.21111111111111,28
rwanda,30,12,27,32,30,30,23,25,21,25,25.5,34.94444444444444,29
switzerland,26,24,29,20,26,26,30,32,30,31,27.4,13.6,30
kazakhstan,32,30,22,30,31,31,31,29,23,30,28.9,12.100000000000001,31
mongolia,31,32,32,31,32,32,32,24,32,32,31.0,6.222222222222222,32
