rank,team,score,points,gd,xgd
1,brazil,122,122,87,50.653
2,netherlands,114,114,69,40.695
3,peru,112,112,78,29.616
4,thailand,107,107,46,73.075
5,pakistan,106,106,51,51.241
6,india,104,104,28,1.404
7,china,101,101,46,34.938
8,panama,101,101,42,16.061
9,iceland,101,101,29,-18.611
10,philippines,99,99,12,-22.549
11,ethiopia,98,98,20,-23.268
12,singapore,94,94,-14,-42.964
13,guatemala,92,92,-5,22.878
14,uk,91,91,33,36.311
15,indonesia,90,90,11,-22.437
16,vietnam,90,90,-34,-46.238
17,serbia,88,88,5,13.114
18,uae,88,88,-48,-30.969
19,mexico,87,87,-17,41.193
20,new_zealand,86,86,-7,2.933
21,south_korea,86,86,-14,8.656
22,saudi_arabia,85,85,-10,-12.003
23,morocco,85,85,-20,5.879
24,france,85,85,-24,32.513
25,canada,83,83,-43,7.55
26,switzerland,81,81,-28,-32.09
27,usa,80,80,-47,-34.305
28,germany,78,78,-21,-13.895
29,oman,77,77,-42,-34.555
30,rwanda,68,68,-63,-32.312
31,mongolia,67,67,-65,-80.898
32,kazakhstan,66,66,-55,-21.616
