rank,team,score,es_xgf60,es_xga60,es_xgd60
1,pakistan,0.8759,2.967,2.0911,0.8759
2,thailand,0.8469,2.9,2.0531,0.8469
3,brazil,0.7886,2.7514,1.9628,0.7886
4,mexico,0.5534,2.5253,1.9719,0.5534
5,south_korea,0.4756,2.6243,2.1487,0.4756
6,china,0.3736,2.4637,2.0901,0.3736
7,guatemala,0.3475,2.4866,2.1391,0.3475
8,peru,0.2413,2.2294,1.9881,0.2413
9,serbia,0.1735,2.7292,2.5557,0.1735
10,netherlands,0.1422,2.0617,1.9195,0.1422
11,oman,0.1346,2.5182,2.3837,0.1346
12,rwanda,0.1191,2.2503,2.1312,0.1191
13,uk,0.0836,2.5616,2.478,0.0836
14,canada,0.0636,2.3713,2.3077,0.0636
15,new_zealand,0.0338,2.249,2.2151,0.0338
16,morocco,0.0264,2.3494,2.323,0.0264
17,iceland,0.0008,2.3169,2.3162,0.0008
18,panama,-0.0079,2.3905,2.3983,-0.0079
19,india,-0.0435,2.2848,2.3282,-0.0435
20,ethiopia,-0.1378,2.3633,2.5011,-0.1378
21,france,-0.1458,2.3001,2.4459,-0.1458
22,usa,-0.1673,2.4222,2.5895,-0.1673
23,saudi_arabia,-0.246,1.9798,2.2258,-0.246
24,switzerland,-0.2533,1.8243,2.0775,-0.2533
25,germany,-0.2805,2.2592,2.5397,-0.2805
26,singapore,-0.3443,2.3747,2.719,-0.3443
27,vietnam,-0.3493,2.1001,2.4494,-0.3493
28,uae,-0.4655,1.8046,2.2701,-0.4655
29,philippines,-0.4881,1.881,2.3692,-0.4881
30,kazakhstan,-0.574,1.7505,2.3246,-0.574
31,indonesia,-0.646,1.8616,2.5076,-0.646
32,mongolia,-0.9461,1.676,2.6221,-0.9461
