rank,team,score,colley_rating
1,brazil,0.44203,0.44203
2,netherlands,0.39885,0.39885
3,peru,0.3763,0.3763
4,thailand,0.35032,0.35032
5,pakistan,0.33961,0.33961
6,india,0.33959,0.33959
7,china,0.31931,0.31931
8,iceland,0.30926,0.30926
9,panama,0.30567,0.30567
10,ethiopia,0.27343,0.27343
11,philippines,0.27246,0.27246
12,guatemala,0.26122,0.26122
13,indonesia,0.25428,0.25428
14,serbia,0.24805,0.24805
15,new_zealand,0.23871,0.23871
16,singapore,0.235,0.235
17,uk,0.22858,0.22858
18,saudi_arabia,0.22713,0.22713
19,vietnam,0.227,0.227
20,south_korea,0.22597,0.22597
21,mexico,0.21638,0.21638
22,uae,0.21164,0.21164
23,france,0.20323,0.20323
24,morocco,0.20028,0.20028
25,canada,0.19683,0.19683
26,switzerland,0.19562,0.19562
27,germany,0.19365,0.19365
28,oman,0.1861,0.1861
29,usa,0.18189,0.18189
30,rwanda,0.12865,0.12865
31,kazakhstan,0.12137,0.12137
32,mongolia,0.09161,0.09161
