rank,team,score,bt_strength
1,brazil,2.35101,2.35101
2,netherlands,1.90555,1.90555
3,peru,1.7191,1.7191
4,thailand,1.5335,1.5335
5,pakistan,1.46191,1.46191
6,india,1.46133,1.46133
7,china,1.33947,1.33947
8,iceland,1.28342,1.28342
9,panama,1.26405,1.26405
10,ethiopia,1.10251,1.10251
11,philippines,1.0975,1.0975
12,guatemala,1.04684,1.04684
13,indonesia,1.01774,1.01774
14,serbia,0.99011,0.99011
15,new_zealand,0.95236,0.95236
16,singapore,0.9369,0.9369
17,uk,0.91286,0.91286
18,saudi_arabia,0.90707,0.90707
19,vietnam,0.90656,0.90656
20,south_korea,0.90238,0.90238
21,mexico,0.86685,0.86685
22,uae,0.84895,0.84895
23,france,0.81984,0.81984
24,morocco,0.80909,0.80909
25,canada,0.79764,0.79764
26,switzerland,0.7941,0.7941
27,germany,0.7872,0.7872
28,oman,0.76245,0.76245
29,usa,0.74874,0.74874
30,rwanda,0.59193,0.59193
31,kazakhstan,0.5746,0.5746
32,mongolia,0.50028,0.50028
