rank,team,score,composite,z_xgd60,z_gd,z_gsax60,z_pp,z_pk
1,brazil,1.3441120321333093,1.3441120321333093,1.8609067505258547,2.1184098442669823,0.9857992808913897,-0.20165989653259553,1.3874821407388274
2,pakistan,1.2103070828400002,1.2103070828400002,2.0684351973354222,1.241826460432369,0.5524270024636886,0.45871987604382186,0.8052494187229079
3,netherlands,1.0791646494445013,1.0791646494445013,0.3242929129805576,1.6801181523496755,0.7702578986394236,2.2159943329192746,1.5146245158871938
4,thailand,0.9833785380299533,0.9833785380299533,1.9994967671237676,1.1200787682331173,-1.3043687897129603,1.4664711989238775,1.0429728827045184
5,peru,0.8127550877619422,0.8127550877619422,0.5598721693245226,1.899263998308329,1.1038727846743333,-0.022079157157906745,0.7629836359395288
6,uk,0.596009411367018,0.596009411367018,0.18498974020804157,0.8035347685150623,0.8238979391391542,1.4584195404731317,0.18126845412095702
7,china,0.5325271056220497,0.5325271056220497,0.8743740423245887,1.1200787682331173,0.7908635239533445,-0.22998448072540106,-0.43460438072255037
8,mexico,0.3880050877085527,0.3880050877085527,1.3017923096368482,-0.41394215347745633,-1.4371605972915615,0.36626958347542704,1.5130718952951505
9,panama,0.3820641182431451,0.3820641182431451,-0.03252289304597248,1.0226806144737157,0.8134315897733531,0.7110531007056132,-0.19532829614889644
10,iceland,0.3623932470809782,0.3623932470809782,-0.011841363982476058,0.7061366147556608,1.2454955745303293,-1.1264503814469242,1.2032378304831233
11,guatemala,0.3318113663758396,0.3318113663758396,0.8123294551340995,-0.12174769219925186,-0.4075334784308797,0.6821533980520414,0.2996126459144152
12,india,0.15431484162319542,0.15431484162319542,-0.11715075909890034,0.6817870763158105,1.4351981567854741,-1.210417676718996,-0.08284955992537651
13,philippines,0.07185902773142278,0.07185902773142278,-1.1740482098610276,0.2921944612782045,1.6029868200559725,0.338951456588965,0.45004432994341625
14,serbia,0.044869974838130905,0.044869974838130905,0.3986988738641712,0.12174769219925186,-0.27768533161141,0.5078925044394534,-0.8905572945856853
15,saudi_arabia,-0.012797337757034899,-0.012797337757034899,-0.5985311769561446,-0.2434953843985037,0.6973205264964973,-1.014877400058006,1.6398692436452844
16,ethiopia,-0.04243073671203075,-0.04243073671203075,-0.3413195166492121,0.4869907687970074,0.3254380505928775,0.6962438003408459,-1.1036113424937333
17,new_zealand,-0.10048700646412963,-0.10048700646412963,0.06660581522388966,-0.17044676907895262,0.19395453668500143,-0.14644852429890398,-0.7670377008187521
18,singapore,-0.15081512608214634,-0.15081512608214634,-0.8322086835011673,-0.34089353815790524,0.8929104302699051,1.7605005119913235,-1.6737681265715438
19,south_korea,-0.1694574547282132,-0.1694574547282132,1.1168471416897192,-0.34089353815790524,-2.24437779212897,0.3367947623610864,-0.7390905301619871
20,france,-0.1705078850489766,-0.1705078850489766,-0.3603370146386341,-0.584388922556409,-1.4544954884286696,0.7643953379418106,1.4633880363497926
21,indonesia,-0.37024292315811885,-0.37024292315811885,-1.5494060764272441,0.2678449228383541,0.8023110935721894,-1.0488093892432955,0.8582110322514662
22,morocco,-0.4247861242928634,-0.4247861242928634,0.04901462958367432,-0.4869907687970074,-1.2484392352894609,-0.7235798996792074,-0.07111864878549995
23,rwanda,-0.45341281651825305,-0.45341281651825305,0.26937988753610165,-1.5340209217105736,-0.6260185214419774,-0.9297598678643991,-0.35283302954164836
24,canada,-0.4728642436981244,-0.4728642436981244,0.13744599523448658,-1.0470301529135662,-1.5019211339924556,-0.5616840529731237,0.13814010434199933
25,vietnam,-0.559986844549861,-0.559986844549861,-0.844094619744556,-0.8278843069549127,0.2865163138888047,0.07698499770931556,-1.3948139602012515
26,germany,-0.5907265938712274,-0.5907265938712274,-0.680544137035527,-0.5113403072368579,-1.103545711256652,1.002638160314795,-1.3701445441276872
27,oman,-0.615641630025331,-0.615641630025331,0.30622628989060674,-1.0226806144737157,-0.4199622683027685,-1.6943798614549455,-1.5417953762479364
28,usa,-0.6333132761537719,-0.6333132761537719,-0.4114465404852057,-1.1444283066729675,-0.4889747594335194,-0.879580782162424,-0.5860711451462486
29,uae,-0.7494586499159549,-0.7494586499159549,-1.1203237780409105,-1.168777845112818,-0.5713972606892029,-0.09555054052096973,-0.3561107841248491
30,switzerland,-0.7557837939957242,-0.7557837939957242,-0.6158846438714922,-0.6817870763158105,0.03205319493276584,-1.6242154092412964,-1.33822956529126
31,kazakhstan,-0.9513165287758989,-0.9513165287758989,-1.378248594522446,-1.3392246141917705,-0.9236553315319457,0.3244297154545821,-0.8798614638405028
32,mongolia,-1.06954259905238,-1.06954259905238,-2.2627999697554366,-1.5827199985902742,0.6548009821979305,-1.6584349576569701,0.5176695823968211
