rank,team,score,rf_score
1,thailand,0.16233714166908042,0.16233714166908042
2,netherlands,0.15813284199328503,0.15813284199328503
3,pakistan,0.1534333058911782,0.1534333058911782
4,uk,0.14817714278670513,0.14817714278670513
5,brazil,0.14442124859441896,0.14442124859441896
6,guatemala,0.14352457249297046,0.14352457249297046
7,mexico,0.14315915277361968,0.14315915277361968
8,singapore,0.14250541744778644,0.14250541744778644
9,south_korea,0.14022411139721347,0.14022411139721347
10,serbia,0.13789943446524944,0.13789943446524944
11,panama,0.13756972880327512,0.13756972880327512
12,china,0.13491804370263916,0.13491804370263916
13,peru,0.13481888337633496,0.13481888337633496
14,ethiopia,0.13404017147232672,0.13404017147232672
15,germany,0.13287975598102653,0.13287975598102653
16,france,0.13264093149839362,0.13264093149839362
17,new_zealand,0.12787554739748785,0.12787554739748785
18,philippines,0.12380478078820778,0.12380478078820778
19,vietnam,0.12228735548013414,0.12228735548013414
20,canada,0.12180381946086993,0.12180381946086993
21,rwanda,0.1197475378383317,0.1197475378383317
22,morocco,0.11941944650836767,0.11941944650836767
23,kazakhstan,0.11892565510011588,0.11892565510011588
24,iceland,0.1170377567913845,0.1170377567913845
25,uae,0.11682143982282978,0.11682143982282978
26,india,0.11533173395848328,0.11533173395848328
27,usa,0.11429495577339421,0.11429495577339421
28,saudi_arabia,0.11238404150597858,0.11238404150597858
29,oman,0.11148466584069183,0.11148466584069183
30,switzerland,0.10444636751890712,0.10444636751890712
31,indonesia,0.10347654339271262,0.10347654339271262
32,mongolia,0.08979770365402295,0.08979770365402295
