rank,team,score,mean_pts,std_pts
1,thailand,104.7,104.7,7.85
2,pakistan,101.33,101.33,8.41
3,serbia,99.6,99.6,8.25
4,uk,99.42,99.42,8.14
5,brazil,98.37,98.37,8.78
6,france,96.75,96.75,8.42
7,mexico,94.84,94.84,8.76
8,south_korea,93.66,93.66,8.42
9,singapore,93.39,93.39,8.34
10,panama,93.14,93.14,8.84
11,guatemala,92.99,92.99,8.62
12,china,92.97,92.97,8.23
13,morocco,91.58,91.58,8.82
14,peru,90.34,90.34,8.82
15,usa,89.92,89.92,8.7
16,oman,89.47,89.47,8.74
17,netherlands,88.81,88.81,8.53
18,new_zealand,88.8,88.8,8.75
19,canada,87.6,87.6,8.73
20,india,87.4,87.4,8.94
21,ethiopia,87.38,87.38,8.2
22,germany,87.05,87.05,8.45
23,iceland,85.06,85.06,8.43
24,vietnam,83.06,83.06,8.56
25,rwanda,81.63,81.63,8.94
26,saudi_arabia,81.07,81.07,8.69
27,indonesia,80.02,80.02,8.34
28,philippines,79.19,79.19,8.7
29,uae,78.8,78.8,8.53
30,kazakhstan,77.98,77.98,8.39
31,switzerland,75.93,75.93,8.53
32,mongolia,68.9,68.9,8.62
