team,expected_wins,rank
brazil,39.743021000323736,1.0
netherlands,39.226909742318355,2.0
pakistan,36.74856825115767,3.0
peru,36.67139315088056,4.0
thailand,36.51695215462456,5.0
india,35.05709699932386,6.0
china,34.38597419519753,7.0
iceland,34.131619743244954,8.0
panama,34.012710213594545,9.0
philippines,32.3246974561024,10.0
ethiopia,32.2507196909618,11.0
guatemala,31.862018973841412,12.0
singapore,31.44695092526724,13.0
mexico,30.76383531480152,14.0
serbia,30.751002835124957,15.0
uk,30.4439811333289,16.0
vietnam,30.430416773346405,17.0
indonesia,29.943332020645602,18.0
uae,29.10771838884346,19.0
south_korea,28.929586608022415,20.0
new_zealand,28.646210682005666,21.0
morocco,28.646210682005663,22.0
france,28.617002934609037,23.0
saudi_arabia,28.617002934609037,23.0
canada,28.367358129080745,25.0
usa,28.338150381684123,26.0
switzerland,28.015777712198037,27.0
oman,26.587299770571324,28.0
germany,26.529931110947874,29.0
rwanda,26.227109365641216,30.0
mongolia,24.538774140651594,31.0
kazakhstan,24.120666585043626,32.0
