game,home_team,away_team,p_lr,p_elo,p_bt,p_log5,p_mc,p_rf,p_svm,p_ensemble,disagreement,flag_disagree
1,brazil,kazakhstan,0.7079,0.8521,0.8219,0.612,0.6204,0.8614,0.6107,0.7266,0.2507,YES
2,netherlands,mongolia,0.7036,0.847,0.8112,0.6928,0.6119,0.7637,0.6143,0.7206,0.2351,YES
3,peru,rwanda,0.5881,0.8175,0.7661,0.5977,0.5403,0.5821,0.5505,0.6346,0.2772,YES
4,thailand,oman,0.6581,0.7819,0.6941,0.6514,0.5905,0.69,0.6038,0.6671,0.1914,YES
5,pakistan,germany,0.7004,0.756,0.6769,0.5944,0.5817,0.6326,0.603,0.6493,0.1743,YES
6,india,usa,0.5959,0.7662,0.6877,0.5507,0.487,0.5894,0.6046,0.6116,0.2792,YES
7,panama,switzerland,0.5614,0.6383,0.6423,0.578,0.6012,0.6355,0.5972,0.6077,0.0809,
8,iceland,canada,0.5594,0.7584,0.6448,0.459,0.4755,0.5705,0.6013,0.5813,0.2994,YES
9,china,france,0.6392,0.7804,0.6483,0.5063,0.4782,0.5932,0.5894,0.605,0.3023,YES
10,philippines,morocco,0.5114,0.6532,0.6048,0.4536,0.4283,0.5768,0.58,0.544,0.2249,YES
11,ethiopia,saudi_arabia,0.5522,0.7258,0.5783,0.4852,0.5426,0.594,0.6063,0.5835,0.2405,YES
12,singapore,new_zealand,0.4905,0.5463,0.526,0.4378,0.5276,0.5857,0.5866,0.5286,0.1488,YES
13,guatemala,south_korea,0.5587,0.6821,0.5668,0.5224,0.4912,0.5671,0.5851,0.5676,0.1908,YES
14,uk,mexico,0.4865,0.6509,0.5429,0.4892,0.5218,0.4367,0.4243,0.5075,0.2266,YES
15,vietnam,serbia,0.5253,0.5667,0.5081,0.4129,0.3996,0.5627,0.574,0.507,0.1743,YES
16,indonesia,uae,0.5238,0.684,0.5749,0.5142,0.51,0.6016,0.5587,0.5667,0.1739,YES
