game,home_team,away_team,p_ensemble,p_mean,p_median,std,n_agree,lr,rf,gb,elo,bt,log5,mc,poisson,xgd
1,brazil,kazakhstan,0.7308,0.7428,0.7038,0.1131,9,0.96,0.8018,0.7038,0.8249,0.8411,0.6711,0.6124,0.6098,0.6606
2,netherlands,mongolia,0.733,0.7337,0.7447,0.1491,9,0.96,0.889,0.6925,0.819,0.8313,0.7447,0.5128,0.5123,0.642
3,peru,rwanda,0.6673,0.6676,0.6823,0.1586,7,0.9136,0.7594,0.6823,0.7855,0.7898,0.6578,0.4229,0.4237,0.573
4,thailand,oman,0.6635,0.6554,0.7074,0.1158,7,0.7557,0.7927,0.6346,0.7456,0.7224,0.7074,0.4634,0.4615,0.6156
5,pakistan,germany,0.6549,0.6519,0.6547,0.0677,9,0.7312,0.7172,0.5875,0.7169,0.7061,0.6547,0.5555,0.5514,0.6466
6,india,usa,0.6217,0.6131,0.6133,0.1229,7,0.7557,0.7046,0.6054,0.7282,0.7163,0.6133,0.4114,0.4104,0.5731
7,panama,switzerland,0.6458,0.6477,0.6392,0.0463,9,0.7076,0.7262,0.6609,0.5907,0.6731,0.6392,0.6266,0.6227,0.582
8,iceland,canada,0.6076,0.6105,0.602,0.0779,9,0.7076,0.6641,0.602,0.7196,0.6755,0.5232,0.5213,0.5216,0.5594
9,china,france,0.6351,0.6372,0.6369,0.0939,9,0.7076,0.7827,0.6369,0.744,0.6788,0.5702,0.5065,0.5059,0.6019
10,philippines,morocco,0.5638,0.5602,0.6026,0.0783,7,0.6026,0.6586,0.6167,0.6063,0.637,0.5178,0.4406,0.4367,0.5257
11,ethiopia,saudi_arabia,0.6206,0.622,0.6278,0.0471,9,0.5867,0.7046,0.6278,0.6839,0.6112,0.5494,0.6329,0.6298,0.572
12,singapore,new_zealand,0.5575,0.5575,0.5581,0.0404,8,0.5751,0.5581,0.5571,0.4961,0.56,0.5018,0.6186,0.6147,0.5359
13,guatemala,south_korea,0.5571,0.5589,0.5545,0.045,7,0.5826,0.5392,0.5435,0.6369,0.6001,0.5859,0.4941,0.4931,0.5545
14,uk,mexico,0.5517,0.5528,0.5537,0.0286,9,0.5761,0.509,0.5188,0.6038,0.5767,0.5534,0.5544,0.5537,0.5291
15,vietnam,serbia,0.5081,0.5056,0.5248,0.0336,6,0.5325,0.5295,0.5248,0.5167,0.5422,0.4763,0.4518,0.4517,0.5251
16,indonesia,uae,0.5755,0.5781,0.5779,0.0313,9,0.5778,0.5812,0.5931,0.6389,0.608,0.5779,0.5401,0.5354,0.5506
